from,to,etype,weight,validated
hsa-miR-125b-5p,EIF4EBP1,miRNA->hub,4,TRUE
hsa-miR-125a-5p,EIF4EBP1,miRNA->hub,4,TRUE
hsa-miR-551a,EIF4EBP1,miRNA->hub,3,FALSE
hsa-miR-551b-3p,EIF4EBP1,miRNA->hub,3,FALSE
hsa-miR-874-3p,EIF4EBP1,miRNA->hub,5,FALSE
hsa-miR-10a-5p,MAGED2,miRNA->hub,3,TRUE
hsa-miR-10b-5p,MAGED2,miRNA->hub,3,TRUE
hsa-miR-512-3p,MAGED2,miRNA->hub,7,FALSE
hsa-miR-512-3p,MAGED2,miRNA->hub,3,FALSE
hsa-miR-501-3p,MAGED2,miRNA->hub,4,TRUE
hsa-miR-502-3p,MAGED2,miRNA->hub,3,TRUE
hsa-miR-3605-5p,MAGED2,miRNA->hub,4,TRUE
hsa-miR-15a-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-16-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-204-5p,PPM1K,miRNA->hub,7,FALSE
hsa-miR-210-3p,PPM1K,miRNA->hub,3,TRUE
hsa-miR-211-5p,PPM1K,miRNA->hub,8,FALSE
hsa-miR-15b-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-140-5p,PPM1K,miRNA->hub,4,TRUE
hsa-miR-195-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-376c-3p,PPM1K,miRNA->hub,5,FALSE
hsa-miR-377-3p,PPM1K,miRNA->hub,14,FALSE
hsa-miR-330-3p,PPM1K,miRNA->hub,5,FALSE
hsa-miR-342-3p,PPM1K,miRNA->hub,14,FALSE
hsa-miR-345-5p,PPM1K,miRNA->hub,4,FALSE
hsa-miR-424-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-410-3p,PPM1K,miRNA->hub,14,FALSE
hsa-miR-495-3p,PPM1K,miRNA->hub,12,FALSE
hsa-miR-497-5p,PPM1K,miRNA->hub,6,TRUE
hsa-miR-299-5p,PPM1K,miRNA->hub,3,FALSE
hsa-miR-147b,PPM1K,miRNA->hub,3,FALSE
hsa-miR-6838-5p,PPM1K,miRNA->hub,6,FALSE
hsa-miR-96-5p,NAMPT,miRNA->hub,5,TRUE
hsa-miR-148a-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-181a-5p,NAMPT,miRNA->hub,3,TRUE
hsa-miR-181b-5p,NAMPT,miRNA->hub,3,TRUE
hsa-miR-181c-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-182-5p,NAMPT,miRNA->hub,5,TRUE
hsa-miR-214-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-145-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-152-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-154-5p,NAMPT,miRNA->hub,11,TRUE
hsa-miR-154-3p,NAMPT,miRNA->hub,5,FALSE
hsa-miR-34c-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-369-3p,NAMPT,miRNA->hub,8,FALSE
hsa-miR-371a-3p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-374a-5p,NAMPT,miRNA->hub,8,TRUE
hsa-miR-381-3p,NAMPT,miRNA->hub,7,FALSE
hsa-miR-323a-3p,NAMPT,miRNA->hub,8,FALSE
hsa-miR-151a-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-148b-3p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-448,NAMPT,miRNA->hub,3,FALSE
hsa-miR-329-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-329-3p,NAMPT,miRNA->hub,11,TRUE
hsa-miR-329-3p,NAMPT,miRNA->hub,11,TRUE
hsa-miR-410-3p,NAMPT,miRNA->hub,8,FALSE
hsa-miR-487a-3p,NAMPT,miRNA->hub,5,FALSE
hsa-miR-493-5p,NAMPT,miRNA->hub,5,FALSE
hsa-miR-493-5p,NAMPT,miRNA->hub,9,FALSE
hsa-miR-493-5p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-181d-5p,NAMPT,miRNA->hub,3,TRUE
hsa-miR-526b-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-579-3p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-582-5p,NAMPT,miRNA->hub,5,TRUE
hsa-miR-588,NAMPT,miRNA->hub,4,FALSE
hsa-miR-620,NAMPT,miRNA->hub,3,FALSE
hsa-miR-542-3p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-770-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-362-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-362-3p,NAMPT,miRNA->hub,11,TRUE
hsa-miR-362-3p,NAMPT,miRNA->hub,11,TRUE
hsa-miR-340-5p,NAMPT,miRNA->hub,8,TRUE
hsa-miR-556-3p,NAMPT,miRNA->hub,9,FALSE
hsa-miR-300,NAMPT,miRNA->hub,7,FALSE
hsa-miR-543,NAMPT,miRNA->hub,9,FALSE
hsa-miR-374b-5p,NAMPT,miRNA->hub,8,TRUE
hsa-miR-3140-3p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-3142,NAMPT,miRNA->hub,4,FALSE
hsa-miR-3163,NAMPT,miRNA->hub,3,FALSE
hsa-miR-3163,NAMPT,miRNA->hub,7,FALSE
hsa-miR-3187-3p,NAMPT,miRNA->hub,4,TRUE
hsa-miR-4262,NAMPT,miRNA->hub,3,FALSE
hsa-miR-3681-5p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-3681-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-3924,NAMPT,miRNA->hub,9,FALSE
hsa-miR-4712-5p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-4761-3p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-1245b-5p,NAMPT,miRNA->hub,4,FALSE
hsa-miR-5195-3p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-664b-3p,NAMPT,miRNA->hub,3,FALSE
hsa-miR-5688,NAMPT,miRNA->hub,5,FALSE
hsa-miR-5688,NAMPT,miRNA->hub,4,FALSE
hsa-let-7a-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7a-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7b-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7b-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7c-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7c-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7d-5p,CCND1,miRNA->hub,12,TRUE
hsa-let-7e-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7e-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7f-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7f-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-15a-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-15a-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-16-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-16-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-17-5p,CCND1,miRNA->hub,35,TRUE
hsa-miR-17-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-18a-5p,CCND1,miRNA->hub,21,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-20a-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-20a-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-22-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-23a-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-23a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-25-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,5,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-32-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-33a-5p,CCND1,miRNA->hub,17,TRUE
hsa-miR-92a-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-93-5p,CCND1,miRNA->hub,35,TRUE
hsa-miR-93-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-95-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-96-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-98-5p,CCND1,miRNA->hub,23,TRUE
hsa-miR-98-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-103a-3p,CCND1,miRNA->hub,33,TRUE
hsa-miR-106a-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-106a-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-107,CCND1,miRNA->hub,33,TRUE
hsa-miR-197-3p,CCND1,miRNA->hub,8,TRUE
hsa-miR-199a-3p,CCND1,miRNA->hub,14,TRUE
hsa-miR-208a-3p,CCND1,miRNA->hub,19,FALSE
hsa-miR-129-5p,CCND1,miRNA->hub,16,FALSE
hsa-miR-30c-5p,CCND1,miRNA->hub,11,TRUE
hsa-miR-139-5p,CCND1,miRNA->hub,6,TRUE
hsa-miR-139-5p,CCND1,miRNA->hub,42,TRUE
hsa-miR-147a,CCND1,miRNA->hub,10,TRUE
hsa-miR-147a,CCND1,miRNA->hub,11,TRUE
hsa-miR-147a,CCND1,miRNA->hub,12,TRUE
hsa-miR-147a,CCND1,miRNA->hub,6,TRUE
hsa-miR-147a,CCND1,miRNA->hub,5,TRUE
hsa-miR-7-5p,CCND1,miRNA->hub,10,TRUE
hsa-miR-7-5p,CCND1,miRNA->hub,6,TRUE
hsa-miR-34a-5p,CCND1,miRNA->hub,8,TRUE
hsa-miR-183-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-218-5p,CCND1,miRNA->hub,5,TRUE
hsa-miR-221-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-222-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-224-5p,CCND1,miRNA->hub,7,TRUE
hsa-miR-224-5p,CCND1,miRNA->hub,10,TRUE
hsa-miR-200b-3p,CCND1,miRNA->hub,4,TRUE
hsa-let-7g-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7g-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7i-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7i-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-15b-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-15b-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-23b-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-23b-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,5,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-30b-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-122-5p,CCND1,miRNA->hub,3,FALSE
hsa-miR-128-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-135a-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-138-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-142-5p,CCND1,miRNA->hub,44,TRUE
hsa-miR-143-3p,CCND1,miRNA->hub,20,FALSE
hsa-miR-153-3p,CCND1,miRNA->hub,46,FALSE
hsa-miR-134-5p,CCND1,miRNA->hub,37,FALSE
hsa-miR-134-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-150-5p,CCND1,miRNA->hub,9,FALSE
hsa-miR-154-5p,CCND1,miRNA->hub,36,FALSE
hsa-miR-186-5p,CCND1,miRNA->hub,12,TRUE
hsa-miR-193a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-193a-3p,CCND1,miRNA->hub,32,TRUE
hsa-miR-195-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-195-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-200c-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-155-5p,CCND1,miRNA->hub,19,TRUE
hsa-miR-106b-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-106b-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302a-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302a-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-34c-5p,CCND1,miRNA->hub,9,TRUE
hsa-miR-361-5p,CCND1,miRNA->hub,5,TRUE
hsa-miR-363-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-365a-3p,CCND1,miRNA->hub,20,TRUE
hsa-miR-302b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302b-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-302c-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302c-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-302d-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302d-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-367-3p,CCND1,miRNA->hub,15,FALSE
hsa-miR-369-3p,CCND1,miRNA->hub,66,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,25,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,19,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,16,TRUE
hsa-miR-371a-3p,CCND1,miRNA->hub,6,FALSE
hsa-miR-372-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-372-3p,CCND1,miRNA->hub,9,FALSE
hsa-miR-373-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-373-3p,CCND1,miRNA->hub,9,FALSE
hsa-miR-374a-5p,CCND1,miRNA->hub,66,TRUE
hsa-miR-374a-5p,CCND1,miRNA->hub,24,TRUE
hsa-miR-379-5p,CCND1,miRNA->hub,4,FALSE
hsa-miR-381-3p,CCND1,miRNA->hub,39,FALSE
hsa-miR-381-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-383-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-330-3p,CCND1,miRNA->hub,5,FALSE
hsa-miR-328-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-323a-3p,CCND1,miRNA->hub,17,FALSE
hsa-miR-323a-3p,CCND1,miRNA->hub,11,FALSE
hsa-miR-326,CCND1,miRNA->hub,4,TRUE
hsa-miR-135b-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-324-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-324-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-338-3p,CCND1,miRNA->hub,14,TRUE
hsa-miR-338-3p,CCND1,miRNA->hub,6,TRUE
